words,values
eroina,11.68
cornice,5.68
barile,10.44
abitazione,6.04
pappagallo,5.04
buttare,4.2
leggero,5.04
turno,7.4
seme,5.92
tenebra,8.96
parrucca,6.4
ghianda,7.84
afflizione,10.826086956521738
bugia,4.64
nido,5.12
poesia,5.2
infezione,7.28
rapido,8.04
alluce,6.52
fiorire,5.8
caduta,5.16
igiene,6.52
irritare,10.92
fiducioso,9.72
statua,5.72
bambino,3.2
canzone,4.28
sveglia,5.16
padella,5.2
tordo,10.904761904761905
merluzzo,6.48
municipio,8.52
femmina,3.88
fuochi d'artificio,5.36
intestino,9.16
torta,2.96
impiego,8.84
felpa,6.32
bellezza,5.36
stagnante,11.56
rito,8.08
vittoria,5.52
urlo,5.0
alunno,5.28
coccodrillo,4.8
palma,5.72
televisore,3.32
farina,5.48
sbagliato,4.24
agnello,4.68
fagiolo,4.84
rumoroso,5.44
truffa,9.92
leader,9.72
commissione,9.28
pizza,4.2
pugile,7.12
cannone,7.2
asciugamano,3.92
carriola,5.76
canguro,4.88
salvataggio,7.56
teso,9.36
bianco,3.64
raccontare,4.8
anno,3.84
tesoro,4.6
milionario,8.25
dignitoso,9.08
montagne russe,7.88
contesto,9.68
pietà,7.68
fuoco,4.4
vagina,10.04
errore,5.76
moglie,5.48
gusto,4.96
puzza,4.16
trottola,7.04
folla,6.72
immondizia,5.0
facile,4.52
fidanzato,8.0
assicurare,9.08
unità,7.16
tana,4.32
orologio,4.72
nacchere,8.28
lupo,3.92
modo,6.44
colpevole,7.64
patto,9.04
pericolo,4.28
stanco,5.8
scandalo,9.32
paradiso,5.92
gelosia,6.6
brezza,7.8
ottimismo,8.6
orzo,5.6
tipo,6.0
bossolo,10.952380952380953
carabina,9.833333333333334
gara,5.76
ospite,7.16
consolato,9.24
granata,9.32
scala,4.64
miseria,7.96
ippopotamo,4.92
riunione,7.4
capace,5.8
papera,3.96
mese,4.64
nascondere,5.28
pastello,3.52
pesca,4.24
fame,3.12
organo,9.56
uva,4.2
lode,7.68
mordere,3.52
inondazione,9.76
salvatore,6.84
gridare,4.44
commedia,8.88
versare,5.76
paralisi,9.56
quaderno,4.56
talpa,5.72
fortuito,10.88
barca,3.48
mano,3.08
giaguaro,8.16
mal di mare,8.0
tetro,10.28
profumo,4.56
avidità,8.96
serpente,4.56
pene,10.28
ombra,5.16
guerra,6.64
seggiolone,3.24
pitone,7.8
altare,7.16
morte,5.8
mora,9.04
nave,4.36
calcagno,9.91304347826087
carezza,3.28
catino,8.15
carnevale,4.04
medaglia,5.92
formaggio,4.64
arancia,3.2
capriccio,3.84
pazzo,5.48
affaticato,7.92
cancrena,11.416666666666666
tirare,4.44
fiore,3.0
tazza,4.36
sacchetto,5.04
caviglia,6.0
spazzatura,5.36
rapa,7.8
tovaglia,4.2
chiesa,5.04
sera,4.6
damigiana,7.625
noce,4.12
calzettone,5.36
asciugare,4.48
coltello,5.2
nutrire,7.56
gobba,7.04
pietra,4.08
panettiere,6.32
mondo,4.72
pellicano,8.12
volare,4.52
tenere,4.4
malessere,8.52
fantasia,5.96
ascia,9.16
vaiolo,12.0
masturbarsi,12.36
onore,8.2
vento,4.64
dispiaciuto,7.4
idolo,8.4
corallo,8.36
mendicante,7.8
sporcarsi,4.36
sopraffatto,9.8
ultimo,5.04
pasta,3.68
successo,7.56
vecchiume,11.333333333333334
ago,5.36
guidare,6.24
orecchio,3.96
litro,7.08
laureato,11.36
palla,2.64
sasso,4.28
schiacciato,5.2
zuffa,9.541666666666666
cerniera,6.16
martello,5.08
avversità,10.88
spazzolino,3.92
esultante,9.48
infedele,9.64
natura,4.2
tessuto,7.52
scaffale,6.52
scopa,5.36
ministro,9.64
scudo,7.88
fauna,9.44
cullare,5.4
viaggiare,5.92
macchina,5.76
autobus,5.96
grumo,9.25
idea,6.24
lana,5.64
piatto,3.36
modesto,9.24
panna,4.96
tenda,5.92
sentimento,8.12
agguato,9.88
lampadina,5.12
sepoltura,9.72
zia,3.04
vespa,6.04
esercizio,5.458333333333333
leccalecca,3.8
cerimonia,7.2
cenere,5.88
accendere,4.68
marito,5.76
zampa,4.44
buio,3.72
pizzicotto,4.88
ernia,9.125
passione,7.64
grattacielo,6.64
cucchiaio,3.76
mutazione,10.04
prostituta,10.76
carattere,6.68
vanità,9.8
valanga,9.44
nonna,3.08
palloncino,3.08
rumore,4.64
tortura,7.16
agilità,7.6
entusiasmare,9.76
dio,5.76
calmo,5.68
ufficio,7.64
babysitter,6.083333333333333
brutale,9.64
arco,5.84
mais,6.12
madre,2.68
verità,6.0
campagna,4.52
zaffiro,8.88
lussuria,10.12
hamburger,6.92
polpa,6.8
prestigio,8.76
bersaglio,7.72
discarica,8.32
forbici,4.8
origine,6.24
distante,7.36
loculo,10.6
mucchio,7.12
ombrello,3.96
assediato,9.2
tenaglia,8.64
ferie,7.6
pugnale,6.84
padre,2.16
palo,4.92
favore,7.24
violino,6.32
guancia,3.64
treno,4.52
portare,4.52
trono,6.56
flotta,8.28
fetta,4.88
respinto,8.64
apprendere,7.56
diga,7.68
ricordo,7.6
amichevole,7.84
nome,3.64
occhio,3.64
gallina,3.64
tagliere,8.16
silenzio,4.48
costruire,5.4
vizio,7.68
abuso,10.88
crocifiggere,8.24
tragedia,9.68
coniglio,3.32
fiasco,9.16
carrozzina,4.48
malattia,6.4
granchio,4.56
graffetta,6.72
distruggere,7.28
poliziotto,5.52
baciare,5.48
stupido,5.36
doccia,4.44
animale domestico,4.28
terrazzo,5.16
gallo,4.36
strappare,5.36
ghigliottina,9.2
caffè,7.2
ginocchio,4.0
lamentela,6.84
desiderio,6.08
affascinare,9.68
sorso,5.84
cantina,5.76
comizio,10.6
morbido,4.64
sereno,5.36
ladro,4.92
armadietto,6.32
t-shirt,6.68
temperino,4.84
fune,5.84
penalità,8.48
cuore,3.8
lido,7.44
sale,5.08
rubinetto,5.96
coraggioso,6.76
comò,6.08
dettaglio,8.72
simpatico,5.08
inutile,6.6
insulto,7.0
angolo,5.6
stalla,5.12
fanciullo,5.76
fermarsi,4.64
ispirato,9.64
collana,4.44
ulcera,12.44
memoria,5.84
oro,5.84
ostile,8.12
minaccia,8.6
sedile,4.24
rovesciare,6.24
romantico,9.52
possente,8.44
fama,8.96
santo,5.2
mosca,4.28
divano,5.16
occhiolino,6.6
piuma,4.56
frustrato,10.88
martire,8.88
offendere,6.6
raggomitolarsi,7.8
abbracciare,2.84
orgoglio,9.76
agile,8.04
burro,5.08
divertimento,5.458333333333333
carta,4.28
malaria,10.32
ricompensa,8.16
blu,3.32
mente,7.28
bagnato,3.32
rilassato,6.04
salotto,4.92
umile,8.28
morto,5.68
cicala,8.4
giallo,3.24
velluto,8.12
lampada,4.28
stress,9.24
rana,4.4
ciclone,7.4
officina,8.88
carino,6.68
pinguino,5.48
ginnasta,7.68
vandalo,8.56
sveglio,4.24
lago,4.92
ferite,4.76
sexy,10.64
attrezzo,6.52
basilico,5.72
patata,3.8
arrugginito,7.48
confuso,7.24
eccitazione,10.0
neve,4.32
faccia,3.68
appendiabiti,6.56
ansioso,8.28
tronco,5.44
tempesta,6.36
letto,3.36
rabbia,6.32
melograno,7.12
cervello,6.88
palazzo,5.88
pennello,6.36
noia,5.04
parete,5.24
pediatra,6.44
leggere,5.56
garbo,9.8
automobile,4.36
mazza,6.12
erba,3.88
utensile,7.833333333333333
naso,3.24
saluto,4.36
disdegno,9.64
lista,6.52
vipera,6.04
terra,4.52
favola,3.8
prosa,9.84
quarto,5.48
brivido,6.64
salute,5.88
snob,10.52
lutto,8.4
orgoglioso,9.92
scalinata,5.88
sfera,6.28
ospedale,5.68
televisione,4.72
fango,5.2
forfora,9.08
belva,6.76
conoscere,6.0
birillo,6.04
avventura,6.44
tetto,3.8
usanza,9.04
gioventù,9.52
sposo,5.36
befana,3.56
clessidra,6.8
trampolino,7.16
cucinare,5.72
